"","Neighbourhood","Years","Population","Assault","Autotheft","Biketheft","Breakandenter","Homicide","Robbery","Shooting","Theftfrommv","TheftOver"
"479",35,2016,6445,45,9,30,20,42,13,36,45,21
"480",36,2016,9292,18,45,35,43,24,41,13,35,39
"481",37,2016,8784,41,19,36,26,25,3,20,31,17
"482",38,2016,8317,19,44,35,16,18,17,34,47,37
"483",39,2016,9167,34,18,37,18,49,23,32,37,24
"484",40,2016,5918,41,43,34,20,24,12,49,26,3
"485",41,2016,7817,44,27,7,19,13,35,16,5,4
"486",42,2016,7361,19,47,37,35,47,4,36,21,10
"487",43,2016,9603,16,2,13,43,48,42,42,8,13
"488",44,2016,6872,6,11,22,34,25,15,12,3,30
"489",45,2016,7692,26,48,41,24,25,31,17,13,34
"490",46,2016,9760,17,15,8,44,24,11,35,12,7
"491",47,2016,8340,50,16,20,44,34,5,32,48,23
"492",48,2016,6033,8,46,22,34,41,27,34,15,35
"493",49,2016,6180,27,25,45,36,31,20,3,47,32
"494",50,2016,6186,16,45,8,47,8,41,43,10,25
"495",51,2016,5703,46,50,21,3,36,26,20,44,3
"496",52,2016,7515,37,40,7,24,37,39,5,22,24
"497",53,2016,9172,44,41,25,14,6,19,12,10,46
"498",54,2016,5832,18,42,13,2,36,17,7,18,8
"499",55,2016,6967,24,28,10,40,34,6,29,7,46
"500",56,2016,8562,16,9,25,6,39,37,9,6,18
"501",57,2016,8040,28,1,26,32,31,26,2,28,26
"502",58,2016,5529,41,47,14,2,34,35,50,5,36
"503",59,2016,9219,30,36,24,19,38,48,38,36,3
"504",60,2016,6619,45,16,17,29,7,8,2,47,28
"505",61,2016,5743,39,48,31,43,41,15,25,40,38
"506",62,2016,9714,16,31,41,32,43,5,41,2,25
"507",63,2016,8549,17,16,35,7,9,9,9,15,38
"508",64,2016,5301,37,22,41,42,17,48,22,14,42
"509",65,2016,6193,19,12,45,17,21,45,41,42,12
"510",66,2016,6913,25,5,20,49,31,14,4,4,49
"511",67,2016,7392,29,46,12,45,50,41,5,11,46
"512",68,2016,7296,42,3,46,17,18,50,5,18,18
"513",69,2016,9489,7,46,26,10,19,47,48,27,13
"514",70,2016,6738,32,28,46,16,49,47,21,23,14
"515",71,2016,6897,33,13,35,5,21,25,30,22,20
"516",72,2016,6021,48,1,31,7,27,24,31,35,1
"517",73,2016,6718,13,30,44,23,15,25,36,6,36
"518",74,2016,7686,44,18,7,24,31,30,46,44,9
"519",75,2016,5029,27,30,24,2,2,44,31,21,10
"520",76,2016,6341,47,2,41,16,45,3,35,5,40
"521",77,2016,5321,24,35,3,43,46,3,16,33,41
"522",78,2016,5971,31,46,19,44,5,25,40,45,11
"523",79,2016,6506,8,49,13,1,8,7,21,37,5
"524",80,2016,8639,27,5,11,31,15,12,45,5,19
"525",81,2016,5637,7,18,23,48,43,32,1,23,4
"526",82,2016,8890,8,34,8,34,39,44,48,9,48
"527",83,2016,5638,18,41,16,14,13,6,12,43,8
"528",84,2016,8938,14,21,13,50,10,36,32,27,15
"529",85,2016,5870,24,14,16,1,11,25,17,28,46
"530",86,2016,7388,41,32,25,7,45,38,43,49,26
"531",87,2016,6286,28,10,18,47,3,41,50,10,12
"532",88,2016,8094,25,16,14,20,6,45,8,32,24
"533",89,2016,7698,29,19,47,13,38,42,39,20,36
"534",90,2016,9493,7,11,15,7,20,16,9,45,24
"535",91,2016,9304,20,49,38,32,11,36,2,22,34
"536",92,2016,6719,28,21,2,7,9,41,18,50,22
"537",93,2016,9707,1,10,45,37,8,18,13,47,42
"538",94,2016,9890,25,17,1,34,26,8,33,23,19
"539",95,2016,6438,19,47,49,31,23,49,27,49,42
"540",96,2016,8121,39,39,48,36,16,14,22,49,40
"541",97,2016,7220,10,6,50,42,37,37,39,31,50
"542",98,2016,9420,13,32,48,12,8,10,39,6,17
"543",99,2016,7867,1,25,47,6,27,11,7,28,24
"544",100,2016,8223,40,33,19,20,48,17,13,4,14
"545",101,2016,5503,26,32,50,21,20,23,40,4,24
"546",102,2016,7563,20,10,49,23,22,15,50,42,11
"547",103,2016,7507,33,16,39,11,20,2,40,45,7
"548",104,2016,7202,41,10,7,28,49,34,37,35,42
"549",105,2016,6084,43,3,14,27,20,37,38,42,40
"550",106,2016,6040,29,41,35,45,4,25,1,11,46
"551",107,2016,9270,32,5,3,40,21,4,40,17,43
"552",108,2016,8183,11,41,2,20,33,26,28,19,26
"553",109,2016,6597,7,18,8,22,10,28,14,21,50
"554",110,2016,8699,11,46,50,30,20,9,11,2,15
"555",111,2016,9026,26,8,5,33,47,23,12,18,44
"556",112,2016,8006,41,40,16,18,32,10,45,30,41
"557",113,2016,6610,18,36,30,6,4,35,4,46,40
"558",114,2016,8496,43,45,1,24,46,24,2,48,1
"559",115,2016,9350,9,27,29,4,4,47,11,32,19
"560",116,2016,5304,12,27,1,4,33,43,50,42,20
"561",117,2016,5504,36,20,35,25,47,24,44,15,29
"562",118,2016,6471,7,3,4,49,47,38,11,25,21
"563",119,2016,6809,48,10,41,29,49,40,22,1,39
"564",120,2016,6101,49,36,49,42,33,34,40,34,18
"565",121,2016,8554,11,26,42,37,44,6,50,35,47
"566",122,2016,6885,29,5,47,24,37,37,46,50,50
"567",123,2016,6104,46,25,33,22,10,45,35,18,14
"568",124,2016,5956,22,34,45,29,47,11,24,31,5
"569",125,2016,7647,7,46,15,49,18,8,2,6,11
"570",126,2016,8970,21,40,30,45,3,16,41,39,29
"571",127,2016,7852,34,22,34,26,27,38,28,44,23
"572",128,2016,6047,27,34,41,34,20,24,13,34,29
"573",129,2016,6164,15,10,12,1,34,8,1,34,47
"574",130,2016,7447,14,7,46,1,44,32,1,12,39
"575",131,2016,9367,44,35,43,50,17,3,9,18,47
"576",132,2016,5345,3,21,39,38,23,50,12,25,30
"577",133,2016,6462,2,49,12,42,18,22,5,39,24
"578",134,2016,9852,5,44,10,50,28,5,29,10,10
"579",135,2016,8020,31,25,7,42,33,34,16,43,15
"580",136,2016,8812,35,35,39,26,11,46,2,15,17
"581",137,2016,6751,2,14,30,1,27,8,31,23,40
"582",138,2016,8568,40,47,28,40,3,46,12,46,29
"583",139,2016,7012,1,3,20,4,26,10,29,24,28
"584",140,2016,7911,43,23,13,39,5,3,43,10,49
"585",141,2016,7112,16,32,29,49,43,5,25,22,27
"586",142,2016,8794,11,36,42,24,8,29,14,19,25
"587",143,2016,7153,23,44,33,47,28,6,45,48,31
"588",144,2016,6703,23,5,12,35,28,48,30,43,10
"589",145,2016,7972,30,1,45,22,27,20,7,34,35
"590",146,2016,6893,40,34,28,47,38,16,5,42,9
"591",147,2016,7963,13,5,13,35,10,23,15,10,49
"592",148,2016,6553,21,38,33,47,45,40,31,25,34
"593",1,2017,6553,35,33,27,3,30,18,45,46,18
"594",2,2017,8573,9,29,16,20,23,42,18,8,1
"595",3,2017,8666,26,22,41,6,5,49,24,45,15
"596",4,2017,6976,29,38,46,12,27,45,46,23,9
"597",5,2017,5771,33,14,24,36,16,33,44,15,50
"598",6,2017,7790,17,46,19,14,19,47,38,37,47
"599",7,2017,7128,12,47,1,36,26,20,32,50,43
"600",8,2017,5477,8,10,45,27,46,23,47,39,5
"601",9,2017,7537,25,50,5,1,27,36,50,14,38
"602",10,2017,6811,11,47,36,9,13,20,28,42,46
"603",11,2017,8282,19,10,5,10,35,32,44,40,44
"604",12,2017,7227,50,25,35,5,49,30,41,28,23
"605",13,2017,5419,1,50,39,12,19,36,26,28,22
"606",14,2017,9514,20,10,6,4,34,9,5,36,2
"607",15,2017,7920,8,23,36,27,29,5,30,32,14
"608",16,2017,6622,7,16,39,7,14,4,39,37,39
"609",17,2017,6712,11,30,13,10,39,30,35,19,28
"610",18,2017,6253,31,21,15,2,50,32,17,42,45
"611",19,2017,7801,26,7,7,28,20,1,40,22,6
"612",20,2017,7919,49,44,35,18,10,18,38,8,9
"613",21,2017,9258,3,13,30,50,25,21,40,47,22
"614",22,2017,6746,5,28,21,16,23,20,44,10,10
"615",23,2017,6525,23,38,4,20,47,3,32,25,36
"616",24,2017,6679,49,1,18,26,41,16,41,24,26
"617",25,2017,6742,11,1,29,20,24,32,24,14,22
"618",26,2017,9493,41,18,8,1,28,50,6,32,22
"619",27,2017,5992,23,30,20,35,19,24,43,31,26
"620",28,2017,8713,6,19,39,14,36,33,43,34,10
"621",29,2017,9892,40,8,29,27,30,17,2,38,37
"622",30,2017,7211,33,1,12,38,18,11,5,37,6
"623",31,2017,7575,33,28,34,2,45,9,9,27,21
"624",32,2017,9515,2,14,25,35,6,27,20,48,47
"625",33,2017,7040,3,41,22,26,19,20,8,20,41
"626",34,2017,7272,49,39,33,40,8,12,15,1,18
"627",35,2017,9564,25,40,25,47,24,3,41,13,23
"628",36,2017,9026,35,37,30,40,26,17,12,22,12
"629",37,2017,8052,14,12,33,44,40,49,29,8,30
"630",38,2017,5683,20,39,35,10,34,19,21,8,32
"631",39,2017,9711,38,31,17,1,48,43,48,4,14
"632",40,2017,6443,21,41,2,44,34,42,17,49,12
"633",41,2017,6557,6,24,24,38,20,32,28,11,22
"634",42,2017,9544,49,15,2,50,7,16,19,2,25
"635",43,2017,6405,47,43,43,40,2,33,10,13,48
"636",44,2017,8758,39,16,3,20,33,2,6,18,2
"637",45,2017,8242,18,48,25,50,39,27,40,19,23
"638",46,2017,7018,19,18,18,20,47,49,39,50,17
"639",47,2017,6816,1,4,13,19,40,26,36,12,8
"640",48,2017,8756,30,23,49,4,5,41,15,47,48
"641",49,2017,7463,26,43,38,12,4,19,41,29,39
"642",50,2017,5485,5,44,25,43,28,8,17,42,38
"643",51,2017,7569,37,40,37,41,12,18,6,26,32
"644",52,2017,5412,6,14,27,26,11,42,2,21,28
"645",53,2017,9507,45,24,16,19,12,47,6,17,31
"646",54,2017,6502,49,20,24,1,39,4,10,14,10
"647",55,2017,8075,27,40,38,21,3,43,6,41,7
"648",56,2017,6671,12,21,16,7,48,37,47,26,23
"649",57,2017,5181,31,47,1,10,50,4,10,38,40
"650",58,2017,6066,28,14,9,45,16,5,26,36,28
"651",59,2017,8926,22,31,25,9,25,1,26,14,28
"652",60,2017,5722,45,48,41,44,44,10,1,12,34
"653",61,2017,6141,15,31,34,12,27,1,34,37,35
"654",62,2017,6377,45,40,33,42,36,27,5,8,46
"655",63,2017,5407,16,50,10,1,46,42,41,23,47
"656",64,2017,7914,44,8,23,33,27,32,23,40,47
"657",65,2017,8098,32,48,3,14,23,35,16,14,17
"658",66,2017,8172,8,47,37,23,49,37,14,44,37
"659",67,2017,8472,41,23,6,22,37,31,15,38,8
"660",68,2017,6007,29,4,23,34,20,1,16,7,48
"661",69,2017,5225,37,42,32,5,23,8,28,42,46
"662",70,2017,5433,46,10,33,17,45,3,10,12,4
"663",71,2017,9893,31,21,29,2,31,32,46,36,39
"664",72,2017,7561,16,5,45,40,5,41,26,10,28
"665",73,2017,9898,12,28,12,38,19,28,46,30,47
"666",74,2017,8672,29,25,19,29,34,33,48,32,19
"667",75,2017,8411,50,43,15,14,7,29,6,16,43
"668",76,2017,8830,37,28,40,22,18,35,38,27,20
"669",77,2017,7324,25,20,50,40,36,6,1,7,43
"670",78,2017,6578,28,14,10,19,16,24,14,34,10
"671",79,2017,7284,9,25,26,1,26,17,14,21,19
"672",80,2017,7363,17,6,36,2,35,22,34,38,35
"673",81,2017,8747,20,39,16,38,48,10,37,13,27
"674",82,2017,9506,28,43,2,15,32,28,6,26,39
"675",83,2017,8912,11,41,27,11,46,25,42,16,31
"676",84,2017,9303,3,13,22,37,26,11,43,28,39
"677",85,2017,9260,21,50,19,10,28,32,28,49,24
"678",86,2017,7529,34,32,40,21,26,36,38,5,45
"679",87,2017,6790,36,30,42,49,50,4,18,25,15
"680",88,2017,5784,30,33,38,15,35,49,47,2,39
"681",89,2017,8866,18,48,13,35,2,4,20,14,1
"682",90,2017,7708,24,22,13,13,36,16,10,14,13
"683",91,2017,7064,34,34,18,48,21,46,44,4,45
"684",92,2017,9715,9,15,12,9,50,37,23,1,31
"685",93,2017,8109,18,49,38,3,13,22,19,50,35
"686",94,2017,6388,22,38,9,4,29,48,36,50,41
"687",95,2017,5000,10,46,27,14,38,49,29,36,32
"688",96,2017,7842,17,39,40,38,14,50,27,35,13
"689",97,2017,5211,5,33,16,5,11,32,49,16,31
"690",98,2017,7706,30,37,19,4,5,32,40,42,38
"691",99,2017,5229,49,31,36,4,10,4,11,32,18
"692",100,2017,5130,47,20,3,21,9,13,2,21,22
"693",101,2017,9411,33,10,43,10,41,43,17,28,35
"694",102,2017,6812,42,31,26,16,48,22,31,47,31
"695",103,2017,5902,42,9,9,13,13,1,9,44,24
"696",104,2017,8550,9,32,46,23,42,43,23,15,30
"697",105,2017,6149,36,26,6,50,27,19,36,47,21
"698",106,2017,8488,37,8,13,13,12,38,27,26,21
"699",107,2017,5307,47,48,1,44,22,27,28,1,24
"700",108,2017,9302,49,45,27,26,7,34,34,10,37
"701",109,2017,6885,34,8,29,36,35,29,48,35,48
"702",110,2017,6424,32,15,6,15,31,50,10,11,29
"703",111,2017,6153,26,45,48,2,25,28,1,31,16
"704",112,2017,7016,16,33,9,48,43,27,44,16,27
"705",113,2017,5849,7,3,18,29,32,46,49,9,17
"706",114,2017,7573,12,50,43,42,5,1,28,7,43
"707",115,2017,8792,13,39,1,3,23,13,17,24,19
"708",116,2017,9388,47,8,5,50,12,30,48,18,19
"709",117,2017,8269,46,14,41,46,11,39,43,43,42
"710",118,2017,9932,46,22,10,49,2,43,18,41,20
"711",119,2017,7727,31,4,25,24,21,50,25,7,23
"712",120,2017,6603,35,40,41,37,46,18,13,9,17
"713",121,2017,6271,33,36,5,34,28,13,21,26,28
"714",122,2017,5492,18,15,12,45,10,36,45,39,33
"715",123,2017,6526,14,32,13,5,24,33,40,11,31
"716",124,2017,5252,35,25,7,37,25,23,17,18,29
"717",125,2017,6018,20,38,26,42,31,26,37,32,41
"718",126,2017,6341,5,5,30,42,23,28,41,48,7
"719",127,2017,6754,15,48,15,8,37,1,41,42,1
"720",128,2017,7757,11,49,35,50,19,6,42,36,20
"721",129,2017,8615,41,47,37,5,28,34,32,48,20
"722",130,2017,7558,35,23,22,32,12,18,42,43,42
"723",131,2017,7759,24,45,21,28,11,27,36,18,36
"724",132,2017,5668,47,13,32,8,13,7,36,2,40
"725",133,2017,8688,27,2,16,29,28,9,26,36,9
"726",134,2017,9978,27,33,36,2,22,30,13,6,13
"727",135,2017,9880,17,39,7,30,25,28,27,44,3
"728",136,2017,6167,41,37,22,33,8,21,4,34,33
"729",137,2017,8626,33,16,39,21,28,22,11,28,3
"730",138,2017,8045,40,2,50,26,39,40,34,6,27
"731",139,2017,6251,3,9,5,20,20,25,16,48,3
"732",140,2017,9800,21,12,20,39,4,16,43,6,37
"733",141,2017,6359,25,12,46,4,34,21,14,25,48
"734",142,2017,7262,29,36,6,16,46,49,27,8,38
"735",143,2017,7396,5,3,45,17,5,36,4,36,23
"736",144,2017,6087,24,2,19,13,13,28,41,10,47
"737",145,2017,8142,17,43,33,19,24,33,8,46,15
"738",146,2017,9839,7,5,20,42,35,12,31,27,42
"739",147,2017,9749,19,13,24,30,11,19,32,17,5
"740",148,2017,7747,3,19,36,41,42,9,14,14,48
"741",1,2018,7083,23,22,48,30,36,2,50,19,15
"742",2,2018,9035,19,45,19,12,28,8,48,34,45
"743",3,2018,5849,42,44,22,44,36,16,23,6,28
"744",4,2018,6612,14,19,34,11,31,14,20,11,6
"745",5,2018,5022,44,38,19,42,41,39,18,35,6
"746",6,2018,7021,4,30,4,38,28,23,16,43,42
"747",7,2018,8429,34,50,34,44,4,19,33,30,21
"748",8,2018,7149,34,12,41,31,18,10,48,27,50
"749",9,2018,5185,20,45,9,28,30,6,7,21,49
"750",10,2018,6395,18,50,35,12,27,3,26,2,48
"751",11,2018,7297,24,19,39,40,35,49,42,42,31
"752",12,2018,6800,21,16,39,41,38,7,47,32,48
"753",13,2018,6431,5,7,22,24,19,50,8,29,14
"754",14,2018,8596,44,49,4,9,8,20,2,41,23
"755",15,2018,7738,41,26,45,8,20,10,45,19,31
"756",16,2018,5119,46,8,34,28,23,41,29,21,16
"757",17,2018,9751,24,7,16,23,6,35,41,39,33
"758",18,2018,7893,10,19,21,18,23,48,17,36,36
"759",19,2018,9393,1,28,25,46,4,49,22,47,8
"760",20,2018,7268,48,6,45,23,25,39,24,14,43
"761",21,2018,6292,17,16,31,4,7,18,41,14,48
"762",22,2018,5909,37,49,33,49,37,31,2,39,5
"763",23,2018,6789,5,3,10,30,6,9,43,12,30
"764",24,2018,5958,6,37,39,19,22,8,7,39,38
"765",25,2018,5471,6,15,30,23,35,25,26,36,18
"766",26,2018,5285,22,34,22,6,24,19,49,39,49
"767",27,2018,9410,35,49,46,18,8,1,7,3,50
"768",28,2018,6040,29,8,27,47,49,11,17,50,11
"769",29,2018,5923,34,49,31,14,1,44,3,8,20
"770",30,2018,8018,29,16,19,35,40,38,33,47,38
"771",31,2018,9540,1,45,20,22,16,44,18,1,11
"772",32,2018,8687,10,46,39,33,25,34,3,33,14
"773",33,2018,5295,18,15,16,32,34,45,41,45,48
"774",34,2018,5439,31,22,14,42,41,46,8,40,16
"775",35,2018,7900,48,44,47,8,34,50,48,16,27
"776",36,2018,5446,42,49,30,19,23,48,44,35,47
"777",37,2018,8299,34,25,18,46,39,2,1,14,48
"778",38,2018,8027,5,40,17,27,41,18,28,38,43
"779",39,2018,5560,9,3,40,5,4,1,13,34,39
"780",40,2018,7713,1,31,1,40,26,20,11,8,3
"781",41,2018,7875,40,1,14,11,50,19,41,27,49
"782",42,2018,6357,43,27,30,4,39,39,50,35,22
"783",43,2018,9299,49,15,21,29,17,27,41,12,37
"784",44,2018,6534,7,6,4,19,14,49,26,28,4
"785",45,2018,9590,19,35,3,3,26,27,50,14,30
"786",46,2018,8014,25,48,14,42,20,28,27,45,28
"787",47,2018,6179,7,29,29,26,8,18,40,21,36
"788",48,2018,8090,39,25,47,2,33,34,24,48,28
"789",49,2018,9972,28,26,3,44,7,1,7,38,46
"790",50,2018,5898,13,46,7,50,47,21,20,40,39
"791",51,2018,8236,26,13,38,38,44,26,45,31,13
"792",52,2018,6754,22,17,17,48,5,33,28,4,11
"793",53,2018,8960,38,22,1,43,37,41,33,47,36
"794",54,2018,8208,38,42,23,19,11,44,9,41,26
"795",55,2018,9671,49,49,49,7,27,39,27,9,13
"796",56,2018,5483,34,41,7,48,3,26,39,3,3
"797",57,2018,7275,20,44,15,21,21,24,11,13,15
"798",58,2018,6244,6,9,25,49,25,44,38,5,43
"799",59,2018,5397,37,29,40,18,18,4,26,48,15
"800",60,2018,9652,3,39,21,7,46,15,2,31,10
"801",61,2018,8288,42,5,46,24,24,5,47,37,40
"802",62,2018,6440,25,36,16,21,39,42,11,16,15
"803",63,2018,9137,32,10,15,20,42,48,6,15,48
"804",64,2018,9413,39,49,46,37,48,34,19,5,8
"805",65,2018,5639,33,46,13,43,48,21,21,6,1
"806",66,2018,8055,15,21,11,1,4,49,41,2,41
"807",67,2018,8242,14,8,48,12,49,18,4,45,14
"808",68,2018,6847,43,48,44,50,20,48,20,9,49
"809",69,2018,7811,44,28,40,21,39,49,33,42,19
"810",70,2018,7250,43,8,19,30,29,39,39,3,21
"811",71,2018,8259,27,47,16,26,9,19,39,17,16
"812",72,2018,5431,1,8,44,49,26,11,4,3,27
"813",73,2018,6201,38,16,35,23,20,2,39,18,39
"814",74,2018,7079,43,44,33,13,50,22,38,4,7
"815",75,2018,6803,2,36,49,11,8,8,21,48,16
"816",76,2018,5022,47,44,12,9,10,30,41,39,45
"817",77,2018,9756,31,6,29,24,16,46,11,39,25
"818",78,2018,9781,3,26,29,17,12,15,46,48,7
"819",79,2018,9007,13,42,47,17,25,11,7,42,38
"820",80,2018,8893,33,14,40,19,29,21,23,1,15
"821",81,2018,5218,46,43,3,20,4,15,35,22,18
"822",82,2018,5434,21,2,27,47,45,6,20,31,34
"823",83,2018,8013,45,50,16,28,25,27,27,34,13
"824",84,2018,8671,9,43,17,42,15,1,32,5,24
"825",85,2018,8870,49,39,38,5,30,15,39,27,45
"826",86,2018,5005,31,49,43,49,7,12,43,30,39
"827",87,2018,6774,7,8,27,43,30,28,5,29,44
"828",88,2018,6400,3,47,41,30,34,33,22,4,12
"829",89,2018,7755,22,25,43,3,3,28,4,2,41
"830",90,2018,9867,1,39,48,35,10,32,13,16,39
"831",91,2018,9520,29,25,15,29,20,48,4,12,35
"832",92,2018,6455,21,21,33,32,11,48,43,27,18
"833",93,2018,9154,48,50,41,28,7,19,11,37,18
"834",94,2018,7697,46,32,28,40,1,15,47,49,4
"835",95,2018,9678,1,5,20,21,16,20,17,22,26
"836",96,2018,9157,5,49,10,2,13,28,6,48,1
"837",97,2018,8246,47,21,36,25,10,14,31,42,18
"838",98,2018,9574,14,31,47,43,41,48,41,36,17
"839",99,2018,9084,9,20,44,10,33,3,23,24,13
"840",100,2018,9624,28,38,31,37,3,45,7,28,32
"841",101,2018,9411,6,9,16,31,48,20,23,33,9
"842",102,2018,8200,7,41,5,14,49,40,14,27,14
"843",103,2018,6627,49,49,40,8,4,43,2,4,37
"844",104,2018,6522,9,24,29,4,16,32,34,20,35
"845",105,2018,6872,1,27,46,20,22,8,20,17,22
"846",106,2018,7034,47,46,16,40,27,12,21,37,37
"847",107,2018,7293,32,47,47,7,10,5,25,17,21
"848",108,2018,7755,8,20,28,40,29,36,39,42,22
"849",109,2018,9369,15,26,20,44,16,4,2,45,38
"850",110,2018,6950,24,50,41,43,7,36,42,37,24
"851",111,2018,9071,5,45,11,37,26,24,10,35,27
"852",112,2018,7453,3,38,19,50,3,8,7,14,2
"853",113,2018,8551,20,24,25,33,39,22,32,21,10
"854",114,2018,5671,32,49,45,2,37,11,6,33,49
"855",115,2018,9596,10,26,17,18,47,15,47,5,6
"856",116,2018,7841,32,33,25,15,23,29,17,34,39
"857",117,2018,7269,1,1,35,30,32,5,1,8,17
"858",118,2018,5128,30,46,29,27,15,15,12,41,33
"859",119,2018,6299,16,49,31,34,47,22,42,22,26
"860",120,2018,7311,7,30,26,42,4,7,9,32,28
"861",121,2018,8855,13,34,38,22,48,9,25,34,37
"862",122,2018,6017,44,13,36,37,28,22,30,28,28
"863",123,2018,6687,12,40,42,49,22,2,19,50,33
"864",124,2018,9380,30,25,25,18,8,43,37,15,45
"865",125,2018,6929,35,7,8,2,17,12,29,1,2
"866",126,2018,8113,34,13,41,4,8,14,14,19,42
"867",127,2018,6935,9,48,20,45,4,13,43,39,23
"868",128,2018,9739,44,7,29,50,36,40,1,19,15
"869",129,2018,5893,47,25,47,37,35,10,2,35,33
"870",130,2018,6463,30,39,23,5,33,14,46,33,30
"871",131,2018,8545,10,4,29,28,29,12,7,19,42
"872",132,2018,5104,41,29,39,46,41,39,42,47,13
"873",133,2018,5856,21,27,36,14,38,39,7,43,17
"874",134,2018,6170,45,23,21,6,16,44,34,10,49
"875",135,2018,9251,34,21,20,34,17,7,18,35,8
"876",136,2018,8855,7,6,10,31,21,31,20,48,16
"877",137,2018,9694,7,27,44,26,42,2,50,50,42
"878",138,2018,5547,19,40,12,44,39,16,3,16,11
"879",139,2018,9871,9,29,49,1,30,37,34,25,24
"880",140,2018,5653,21,30,12,28,18,7,38,23,46
"881",141,2018,5731,3,16,28,24,6,49,33,32,38
"882",142,2018,5597,47,42,44,14,32,19,3,32,36
"883",143,2018,7480,3,5,3,3,23,9,15,6,32
"884",144,2018,6695,27,10,24,19,6,10,24,26,1
"885",145,2018,8002,5,38,16,45,38,19,21,41,7
"886",146,2018,6827,31,26,46,32,9,3,8,34,42
"887",147,2018,7010,23,27,39,47,40,37,38,4,35
"888",148,2018,7840,6,3,3,42,1,12,34,26,36
"889",1,2019,7697,6,38,49,1,39,50,29,29,10
"890",2,2019,6005,25,11,17,18,25,33,49,46,41
"891",3,2019,7836,20,11,12,31,19,46,47,42,44
"892",4,2019,6884,25,29,24,19,24,29,39,17,17
"893",5,2019,8728,4,45,18,24,39,46,28,21,14
"894",6,2019,5988,33,36,37,8,9,17,45,24,48
"895",7,2019,7348,47,10,40,23,16,23,20,15,3
"896",8,2019,7241,15,21,50,1,3,49,14,35,38
"897",9,2019,5492,8,44,27,31,15,33,30,42,4
"898",10,2019,6930,39,31,41,16,5,42,29,18,50
"899",11,2019,8758,9,14,33,39,39,1,10,43,30
"900",12,2019,6093,39,3,49,23,22,33,48,4,35
"901",13,2019,8967,38,46,38,26,29,5,29,49,24
"902",14,2019,7170,26,49,45,23,34,45,41,4,37
"903",15,2019,8427,11,42,34,21,37,38,1,50,40
"904",16,2019,6495,26,39,30,18,25,15,37,49,25
"905",17,2019,6132,48,5,9,21,24,32,24,43,25
"906",18,2019,5157,37,26,31,16,4,35,25,18,50
"907",19,2019,9884,33,1,13,20,21,20,50,47,14
"908",20,2019,6893,48,46,7,41,37,44,25,17,40
"909",21,2019,5775,31,18,42,13,35,31,39,21,26
"910",22,2019,8927,22,49,38,8,38,30,10,38,39
"911",23,2019,9716,49,32,42,29,15,47,19,17,41
"912",24,2019,6978,17,4,48,9,18,8,18,17,1
"913",25,2019,5856,42,50,16,10,45,26,31,37,39
"914",26,2019,5526,2,13,11,35,31,12,23,33,19
"915",27,2019,6536,11,15,27,45,46,37,3,50,24
"916",28,2019,8720,49,4,10,44,8,16,29,27,46
"917",29,2019,8165,18,28,4,40,5,34,20,10,43
"918",30,2019,6534,25,42,41,10,26,43,11,26,33
"919",31,2019,7368,10,41,2,41,10,2,35,14,7
"920",32,2019,6026,47,43,16,11,5,26,40,32,28
"921",33,2019,5129,10,41,20,19,31,17,2,3,35
"922",34,2019,8442,34,46,2,11,8,19,8,16,5
"923",35,2019,6819,10,18,41,41,43,40,15,3,36
"924",36,2019,6962,6,18,50,44,20,26,18,42,4
"925",37,2019,7812,30,15,16,31,30,27,19,22,20
"926",38,2019,6340,28,8,18,25,39,30,50,32,40
"927",39,2019,7927,12,4,31,21,8,47,28,6,26
"928",40,2019,9219,42,27,3,48,2,16,15,40,36
"929",41,2019,7374,37,38,38,4,44,48,12,46,38
"930",42,2019,7163,14,27,35,24,32,44,42,29,29
"931",43,2019,6667,45,9,13,14,13,40,30,33,41
"932",44,2019,5135,29,23,21,24,47,31,17,22,31
"933",45,2019,6692,2,27,36,2,33,41,23,32,10
"934",46,2019,5415,7,49,43,47,43,48,49,39,44
"935",47,2019,8400,36,29,21,9,34,9,48,41,1
"936",48,2019,8942,16,49,19,5,48,12,28,8,37
"937",49,2019,6084,33,48,26,2,5,30,12,11,42
"938",50,2019,6599,39,19,48,26,33,31,48,5,20
"939",51,2019,9766,32,49,37,5,46,44,32,13,23
"940",52,2019,8216,34,38,23,36,42,20,44,20,17
"941",53,2019,6944,15,18,36,3,38,45,3,20,1
"942",54,2019,8162,47,26,10,37,46,49,24,24,25
"943",55,2019,6252,50,20,38,47,25,45,2,20,39
"944",56,2019,6058,8,10,16,10,50,31,48,26,23
"945",57,2019,8273,16,26,32,11,5,16,38,8,3
"946",58,2019,7472,42,11,13,44,18,14,37,44,25
"947",59,2019,6249,24,23,48,24,40,7,4,4,47
"948",60,2019,9394,38,8,9,45,7,47,39,34,27
"949",61,2019,7984,50,24,39,4,41,16,15,20,10
"950",62,2019,8662,50,43,30,33,33,48,44,19,32
"951",63,2019,6312,32,49,10,14,29,42,35,10,22
"952",64,2019,5077,37,49,25,38,36,37,38,3,5
"953",65,2019,5432,30,20,33,32,19,28,16,33,3
"954",66,2019,7231,14,33,35,22,34,22,2,49,49
"955",67,2019,5890,3,15,8,22,2,36,22,44,35
"956",68,2019,9971,38,32,45,25,21,4,6,49,26
"957",69,2019,9639,42,24,35,8,16,37,24,29,1
"958",70,2019,6821,47,48,20,1,21,47,50,25,32
